Msg Id,Time (hr:min:sec),Time (Seconds) (),Clamp Pos (mm) (),Shoulder (Y) Pos (mm) (),Probe (X) Pos (mm) (),Shoulder (Y) Vel (mmPM) (),Probe (X) Velocity (mmPM) (),Spindle Torque (Nm) (),Shoulder Force (N) (),Probe Force (N) (),Anvil Force (N) (),Shoulder Servo Torque (Nm) (),Probe Servo Torque (Nm) ()
0,00:00:00.000,0.0012,-10.977,30,5.001,0,0,0.1038709,0,1704.628,-17.746,0,0
0,00:00:00.001,0.0028,-10.977,30,5.001,0,0,0.04165944,0,1702.647,-20.004,0,0
0,00:00:00.003,0.0044,-10.977,30,5.001,0,0,0.04165944,0,1702.997,-16.8435,0,0
0,00:00:00.004,0.006,-10.977,30,5.001,0,0,0.04165944,0,1703.696,-16.8415,0,0
0,00:00:00.006,0.0076,-10.977,30,5.001,0,0,0.04165944,0,1703.347,-17.296,0,0
0,00:00:00.008,0.0092,-10.977,30,5.001,0,0,0.09153458,0,1703.929,-19.101,0,0
0,00:00:00.009,0.0108,-10.977,30,5.001,0,0,0.09153458,0,1703.23,-16.8435,0,0
0,00:00:00.011,0.0124,-10.977,30,5.001,0,0,0.09153458,0,1702.997,-17.296,0,0
0,00:00:00.012,0.014,-10.977,30,5.001,0,0,0.09153458,0,1702.415,-16.8435,0,0
0,00:00:00.014,0.0156,-10.977,30,5.001,0,0,0.07683872,0,1702.764,-18.65,0,0
0,00:00:00.016,0.0172,-10.977,30,5.001,0,0,0.07683872,0,1703.346,-18.652,0,0
0,00:00:00.017,0.0188,-10.977,30,5.001,0,0,0.07683872,0,1701.832,-20.91,0,0
0,00:00:00.019,0.0204,-10.977,30,5.001,0,0,0.06471021,0,1702.647,-18.1985,0,0
0,00:00:00.020,0.022,-10.977,30,5.001,0,0,0.0525817,0,1702.298,-20.907,0,0
0,00:00:00.022,0.0236,-10.977,30,5.001,0,0,0.0525817,0,1703.23,-19.101,0,0
0,00:00:00.024,0.0252,-10.977,30,5.001,0,0,0.0525817,0,1702.065,-21.3605,0,0
0,00:00:00.025,0.0268,-10.977,30,5.001,0,0,0.0539039,0,1702.298,-18.201,0,0
0,00:00:00.027,0.0284,-10.977,30,5.001,0,0,0.0552261,0,1701.715,-19.5535,0,0
0,00:00:00.028,0.03,-10.977,30,5.001,0,0,0.0552261,0,1701.948,-17.747,0,0
0,00:00:00.030,0.0316,-10.977,30,5.001,0,0,0.0552261,0,1702.298,-22.714,0,0
0,00:00:00.032,0.0332,-10.977,30,5.001,0,0,0.08527006,0,1701.482,-17.7475,0,0
0,00:00:00.033,0.0348,-10.977,30,5.001,0,0,0.08527006,0,1701.249,-19.5535,0,0
0,00:00:00.035,0.0364,-10.977,30,5.001,0,0,0.08527006,0,1701.948,-18.1995,0,0
0,00:00:00.036,0.038,-10.977,30,5.001,0,0,0.08527006,0,1701.832,-17.746,0,0
0,00:00:00.038,0.0396,-10.977,30,5.001,0,0,0.06365711,0,1702.415,-19.1025,0,0
0,00:00:00.040,0.0412,-10.977,30,5.001,0,0,0.06365711,0,1701.832,-18.6485,0,0
1,00:00:00.041,0.0428,-10.977,30,5.001,0,0,0.06365711,0,1702.182,-19.554,0,0
1,00:00:00.043,0.0444,-10.977,30,5.001,0,0,0.08176685,0,1701.482,-21.362,0,0
1,00:00:00.044,0.046,-10.977,30,5.001,0,0,0.09987659,0,1701.832,-17.296,0,0
1,00:00:00.046,0.0476,-10.977,30,5.001,0,0,0.09987659,0,1701.716,-22.714,0,0
1,00:00:00.048,0.0492,-10.977,30,5.001,0,0,0.09987659,0,1701.599,-16.842,0,0
1,00:00:00.049,0.0508,-10.977,30,5.001,0,0,0.08680557,0,1701.366,-21.81,0,0
1,00:00:00.051,0.0524,-10.977,30,5.001,0,0,0.07373456,0,1700.667,-14.585,0,0
1,00:00:00.052,0.054,-10.977,30,5.001,0,0,0.07373456,0,1701.133,-23.6185,0,0
1,00:00:00.054,0.0556,-10.977,30,5.001,0,0,0.07373456,0,1701.599,-17.296,0,0
1,00:00:00.056,0.0572,-10.977,30,5.001,0,0,0.08052646,0,1701.599,-16.844,0,0
1,00:00:00.057,0.0588,-10.977,30,5.001,0,0,0.08052646,0,1701.599,-21.811,0,0
1,00:00:00.059,0.0604,-10.977,30,5.001,0,0,0.08052646,0,1701.715,-15.49,0,0
1,00:00:00.060,0.062,-10.977,30,5.001,0,0,0.08052646,0,1701.133,-18.6495,0,0
1,00:00:00.062,0.0636,-10.977,30,5.001,0,0,0.05157979,0,1701.25,-19.103,0,0
1,00:00:00.064,0.0652,-10.977,30,5.001,0,0,0.05157979,0,1701.715,-19.101,0,0
