Msg Id,Time (hr:min:sec),Time (Seconds) (),Clamp Pos (mm) (),Shoulder (Y) Pos (mm) (),Probe (X) Pos (mm) (),Shoulder (Y) Vel (mmPM) (),Probe (X) Velocity (mmPM) (),Spindle Torque (Nm) (),Shoulder Force (N) (),Probe Force (N) (),Anvil Force (N) (),Shoulder Servo Torque (Nm) (),Probe Servo Torque (Nm) ()
0,00:00:00.000,0.0012,-10.977,30,5.001,0,0,-0.07704549,0,1350.934,-15.949,0,0
0,00:00:00.001,0.0028,-10.977,30,5.001,0,0,-0.07712039,0,1350.934,-17.7565,0,0
0,00:00:00.003,0.0044,-10.977,30,5.001,0,0,-0.0771953,0,1351.4,-17.757,0,0
0,00:00:00.004,0.006,-10.977,30,5.001,0,0,-0.0771953,0,1351.4,-18.208,0,0
0,00:00:00.006,0.0076,-10.977,30,5.001,0,0,-0.0771953,0,1351.516,-19.11,0,0
0,00:00:00.008,0.0092,-10.977,30,5.001,0,0,-0.07311578,0,1351.4,-18.20699,0,0
0,00:00:00.009,0.0108,-10.977,30,5.001,0,0,-0.06903626,0,1350.934,-18.65649,0,0
0,00:00:00.011,0.0124,-10.977,30,5.001,0,0,-0.06903626,0,1351.633,-15.945,0,0
0,00:00:00.012,0.014,-10.977,30,5.001,0,0,-0.06903626,0,1351.633,-15.4935,0,0
0,00:00:00.014,0.0156,-10.977,30,5.001,0,0,-0.07213621,0,1350.701,-15.9455,0,0
0,00:00:00.016,0.0172,-10.977,30,5.001,0,0,-0.07523615,0,1350.584,-19.1095,0,0
0,00:00:00.017,0.0188,-10.977,30,5.001,0,0,-0.07523615,0,1350.934,-17.30199,0,0
0,00:00:00.019,0.0204,-10.977,30,5.001,0,0,-0.07523615,0,1350.934,-19.5595,0,0
0,00:00:00.020,0.022,-10.977,30,5.001,0,0,-0.05968818,0,1350.817,-16.399,0,0
0,00:00:00.022,0.0236,-10.977,30,5.001,0,0,-0.05968818,0,1350.119,-15.494,0,0
0,00:00:00.024,0.0252,-10.977,30,5.001,0,0,-0.05968818,0,1350.584,-16.85,0,0
0,00:00:00.025,0.0268,-10.977,30,5.001,0,0,-0.05968818,0,1350.352,-19.561,0,0
0,00:00:00.027,0.0284,-10.977,30,5.001,0,0,-0.0633235,0,1350.468,-18.2045,0,0
0,00:00:00.028,0.03,-10.977,30,5.001,0,0,-0.0633235,0,1350.584,-18.2045,0,0
0,00:00:00.030,0.0316,-10.977,30,5.001,0,0,-0.0633235,0,1350.352,-18.6555,0,0
0,00:00:00.032,0.0332,-10.977,30,5.001,0,0,-0.06478609,0,1350.818,-19.1075,0,0
0,00:00:00.033,0.0348,-10.977,30,5.001,0,0,-0.06624869,0,1351.051,-20.0115,0,0
0,00:00:00.035,0.0364,-10.977,30,5.001,0,0,-0.06624869,0,1349.769,-16.3995,0,0
0,00:00:00.036,0.038,-10.977,30,5.001,0,0,-0.06624869,0,1350.817,-16.85,0,0
0,00:00:00.038,0.0396,-10.977,30,5.001,0,0,-0.08562565,0,1350.468,-17.3025,0,0
0,00:00:00.040,0.0412,-10.977,30,5.001,0,0,-0.1050026,0,1350.118,-18.65649,0,0
1,00:00:00.041,0.0428,-10.977,30,5.001,0,0,-0.1050026,0,1350.118,-22.271,0,0
1,00:00:00.043,0.0444,-10.977,30,5.001,0,0,-0.1050026,0,1350.352,-15.95,0,0
1,00:00:00.044,0.046,-10.977,30,5.001,0,0,-0.08618907,0,1350.468,-20.0145,0,0
1,00:00:00.046,0.0476,-10.977,30,5.001,0,0,-0.08618907,0,1350.818,-16.853,0,0
1,00:00:00.048,0.0492,-10.977,30,5.001,0,0,-0.08618907,0,1350.934,-16.851,0,0
1,00:00:00.049,0.0508,-10.977,30,5.001,0,0,-0.08618907,0,1350.584,-18.66,0,0
1,00:00:00.051,0.0524,-10.977,30,5.001,0,0,-0.05990709,0,1350.584,-15.949,0,0
1,00:00:00.052,0.054,-10.977,30,5.001,0,0,-0.05990709,0,1349.885,-14.1435,0,0
1,00:00:00.054,0.0556,-10.977,30,5.001,0,0,-0.05990709,0,1350.584,-17.7545,0,0
1,00:00:00.056,0.0572,-10.977,30,5.001,0,0,-0.05645906,0,1350.118,-15.4955,0,0
1,00:00:00.057,0.0588,-10.977,30,5.001,0,0,-0.05301103,0,1349.885,-18.2065,0,0
1,00:00:00.059,0.0604,-10.977,30,5.001,0,0,-0.05301103,0,1350.468,-15.94949,0,0
1,00:00:00.060,0.062,-10.977,30,5.001,0,0,-0.05301103,0,1349.769,-19.564,0,0
1,00:00:00.062,0.0636,-10.977,30,5.001,0,0,-0.0655981,0,1350.934,-15.4965,0,0
1,00:00:00.064,0.0652,-10.977,30,5.001,0,0,-0.07818517,0,1350.584,-18.20599,0,0
1,00:00:00.065,0.0668,-10.977,30,5.001,0,0,-0.07818517,0,1350.468,-19.1115,0,0
1,00:00:00.067,0.0684,-10.977,30,5.001,0,0,-0.07818517,0,1349.885,-20.0135,0,0
1,00:00:00.068,0.07,-10.977,30,5.001,0,0,-0.07756534,0,1350.468,-17.30399,0,0
1,00:00:00.070,0.0716,-10.977,30,5.001,0,0,-0.07756534,0,1350.701,-19.1095,0,0
1,00:00:00.072,0.0732,-10.977,30,5.001,0,0,-0.07756534,0,1350.002,-14.59299,0,0
1,00:00:00.073,0.0748,-10.977,30,5.001,0,0,-0.07756534,0,1350.118,-19.108,0,0
1,00:00:00.075,0.0764,-10.977,30,5.001,0,0,-0.06844283,0,1349.885,-15.49599,0,0
1,00:00:00.076,0.078,-10.977,30,5.001,0,0,-0.06844283,0,1350.351,-16.8525,0,0
1,00:00:00.078,0.0796,-10.977,30,5.001,0,0,-0.06844283,0,1350.584,-18.20699,0,0
1,00:00:00.080,0.0812,-10.977,30,5.001,0,0,-0.06841494,0,1350.235,-19.111,0,0
1,00:00:00.081,0.0828,-10.977,30,5.001,0,0,-0.06838706,0,1350.584,-16.852,0,0
2,00:00:00.083,0.0844,-10.977,30,5.001,0,0,-0.06838706,0,1350.235,-14.1405,0,0
2,00:00:00.084,0.086,-10.977,30,5.001,0,0,-0.06838706,0,1350.235,-15.94849,0,0
2,00:00:00.086,0.0876,-10.977,30,5.001,0,0,-0.08138855,0,1350.701,-16.3995,0,0
2,00:00:00.088,0.0892,-10.977,30,5.001,0,0,-0.09439003,0,1349.303,-16.4,0,0
2,00:00:00.089,0.0908,-10.977,30,5.001,0,0,-0.09439003,0,1349.769,-16.399,0,0
2,00:00:00.091,0.0924,-10.977,30,5.001,0,0,-0.09439003,0,1349.419,-15.497,0,0
2,00:00:00.092,0.094,-10.977,30,5.001,0,0,-0.1158586,0,1350.118,-17.7535,0,0
2,00:00:00.094,0.0956,-10.977,30,5.001,0,0,-0.1158586,0,1348.953,-17.3035,0,0
2,00:00:00.096,0.0972,-10.977,30,5.001,0,0,-0.1158586,0,1349.885,-16.3995,0,0
2,00:00:00.097,0.0988,-10.977,30,5.001,0,0,-0.07805783,0,1349.652,-16.4015,0,0
2,00:00:00.099,0.1004,-10.977,30,5.001,0,0,-0.04025703,0,1350.584,-17.3035,0,0
2,00:00:00.100,0.102,-10.977,30,5.001,0,0,-0.04025703,0,1350.118,-16.3995,0,0
2,00:00:00.102,0.1036,-10.977,30,5.001,0,0,-0.04025703,0,1349.652,-16.851,0,0
2,00:00:00.104,0.1052,-10.977,30,5.001,0,0,-0.04857805,0,1349.07,-18.206,0,0
2,00:00:00.105,0.1068,-10.977,30,5.001,0,0,-0.05689906,0,1349.769,-16.39899,0,0
2,00:00:00.107,0.1084,-10.977,30,5.001,0,0,-0.05689906,0,1349.303,-15.94749,0,0
2,00:00:00.108,0.11,-10.977,30,5.001,0,0,-0.05689906,0,1348.953,-18.658,0,0
2,00:00:00.110,0.1116,-10.977,30,5.001,0,0,-0.05567354,0,1349.885,-17.3045,0,0
2,00:00:00.112,0.1132,-10.977,30,5.001,0,0,-0.05444802,0,1349.303,-14.5935,0,0
2,00:00:00.113,0.1148,-10.977,30,5.001,0,0,-0.05444802,0,1349.652,-20.466,0,0
2,00:00:00.115,0.1164,-10.977,30,5.001,0,0,-0.05444802,0,1348.604,-18.6605,0,0
2,00:00:00.116,0.118,-10.977,30,5.001,0,0,-0.1122673,0,1349.187,-17.75449,0,0
2,00:00:00.118,0.1196,-10.977,30,5.001,0,0,-0.1122673,0,1348.953,-17.755,0,0
2,00:00:00.120,0.1212,-10.977,30,5.001,0,0,-0.1122673,0,1348.72,-14.5925,0,0
2,00:00:00.121,0.1228,-10.977,30,5.001,0,0,-0.09603988,0,1348.837,-23.6245,0,0
2,00:00:00.123,0.1244,-10.977,30,5.001,0,0,-0.07981247,0,1349.187,-20.4665,0,0
3,00:00:00.124,0.126,-10.977,30,5.001,0,0,-0.07981247,0,1348.837,-20.0125,0,0
3,00:00:00.126,0.1276,-10.977,30,5.001,0,0,-0.07981247,0,1349.303,-19.111,0,0
3,00:00:00.128,0.1292,-10.977,30,5.001,0,0,-0.06944908,0,1348.371,-19.56249,0,0
3,00:00:00.129,0.1308,-10.977,30,5.001,0,0,-0.0590857,0,1348.371,-19.10899,0,0
3,00:00:00.131,0.1324,-10.977,30,5.001,0,0,-0.0590857,0,1348.837,-17.3025,0,0
3,00:00:00.132,0.134,-10.977,30,5.001,0,0,-0.0590857,0,1349.536,-16.8485,0,0
3,00:00:00.134,0.1356,-10.977,30,5.001,0,0,-0.05262204,0,1348.837,-18.20599,0,0
3,00:00:00.136,0.1372,-10.977,30,5.001,0,0,-0.05262204,0,1349.187,-16.3985,0,0
3,00:00:00.137,0.1388,-10.977,30,5.001,0,0,-0.05262204,0,1348.371,-18.655,0,0
3,00:00:00.139,0.1404,-10.977,30,5.001,0,0,-0.05262204,0,1348.138,-17.301,0,0
3,00:00:00.140,0.142,-10.977,30,5.001,0,0,-0.08922514,0,1348.604,-18.65749,0,0
3,00:00:00.142,0.1436,-10.977,30,5.001,0,0,-0.08922514,0,1348.488,-17.75449,0,0
3,00:00:00.144,0.1452,-10.977,30,5.001,0,0,-0.08922514,0,1349.07,-16.85,0,0
3,00:00:00.145,0.1468,-10.977,30,5.001,0,0,-0.08922514,0,1348.255,-17.755,0,0
3,00:00:00.147,0.1484,-10.977,30,5.001,0,0,-0.07200294,0,1348.371,-19.56149,0,0
3,00:00:00.148,0.15,-10.977,30,5.001,0,0,-0.07200294,0,1347.905,-15.94949,0,0
3,00:00:00.150,0.1516,-10.977,30,5.001,0,0,-0.07200294,0,1348.021,-18.2055,0,0
3,00:00:00.152,0.1532,-10.977,30,5.001,0,0,-0.07500015,0,1348.837,-15.947,0,0
3,00:00:00.153,0.1548,-10.977,30,5.001,0,0,-0.07799736,0,1348.604,-20.0125,0,0
3,00:00:00.155,0.1564,-10.977,30,5.001,0,0,-0.07799736,0,1348.837,-15.949,0,0
3,00:00:00.156,0.158,-10.977,30,5.001,0,0,-0.07799736,0,1348.604,-20.9175,0,0
3,00:00:00.158,0.1596,-10.977,30,5.001,0,0,-0.07444848,0,1349.07,-19.11199,0,0
3,00:00:00.160,0.1612,-10.977,30,5.001,0,0,-0.07444848,0,1348.371,-17.7555,0,0
3,00:00:00.161,0.1628,-10.977,30,5.001,0,0,-0.07444848,0,1349.187,-17.304,0,0
3,00:00:00.163,0.1644,-10.977,30,5.001,0,0,-0.07444848,0,1348.953,-17.75549,0,0
3,00:00:00.164,0.166,-10.977,30,5.001,0,0,-0.05986647,0,1348.021,-18.20699,0,0
4,00:00:00.166,0.1676,-10.977,30,5.001,0,0,-0.05986647,0,1348.371,-14.592,0,0
4,00:00:00.168,0.1692,-10.977,30,5.001,0,0,-0.05986647,0,1349.303,-16.8525,0,0
4,00:00:00.169,0.1708,-10.977,30,5.001,0,0,-0.07136682,0,1347.905,-18.657,0,0
4,00:00:00.171,0.1724,-10.977,30,5.001,0,0,-0.08286716,0,1348.021,-14.59599,0,0
4,00:00:00.172,0.174,-10.977,30,5.001,0,0,-0.08286716,0,1348.371,-18.2075,0,0
4,00:00:00.174,0.1756,-10.977,30,5.001,0,0,-0.08286716,0,1348.487,-17.3035,0,0
4,00:00:00.176,0.1772,-10.977,30,5.001,0,0,-0.09114184,0,1348.953,-16.851,0,0
4,00:00:00.177,0.1788,-10.977,30,5.001,0,0,-0.09941652,0,1348.021,-14.5945,0,0
4,00:00:00.179,0.1804,-10.977,30,5.001,0,0,-0.09941652,0,1348.604,-17.754,0,0
4,00:00:00.180,0.182,-10.977,30,5.001,0,0,-0.09941652,0,1348.021,-15.04449,0,0
4,00:00:00.182,0.1836,-10.977,30,5.001,0,0,-0.0623933,0,1348.488,-20.012,0,0
4,00:00:00.184,0.1852,-10.977,30,5.001,0,0,-0.0623933,0,1348.021,-15.497,0,0
4,00:00:00.185,0.1868,-10.977,30,5.001,0,0,-0.0623933,0,1348.837,-14.59399,0,0
4,00:00:00.187,0.1884,-10.977,30,5.001,0,0,-0.0623933,0,1348.604,-15.49599,0,0
4,00:00:00.188,0.19,-10.977,30,5.001,0,0,-0.0675827,0,1347.905,-16.4,0,0
4,00:00:00.190,0.1916,-10.977,30,5.001,0,0,-0.0675827,0,1348.72,-14.14249,0,0
4,00:00:00.192,0.1932,-10.977,30,5.001,0,0,-0.0675827,0,1347.323,-15.496,0,0
4,00:00:00.193,0.1948,-10.977,30,5.001,0,0,-0.06589209,0,1348.487,-14.591,0,0
4,00:00:00.195,0.1964,-10.977,30,5.001,0,0,-0.06420147,0,1347.672,-15.94749,0,0
4,00:00:00.196,0.198,-10.977,30,5.001,0,0,-0.06420147,0,1348.604,-13.6895,0,0
4,00:00:00.198,0.1996,-10.977,30,5.001,0,0,-0.06420147,0,1347.905,-18.656,0,0
4,00:00:00.200,0.2012,-10.977,30,5.001,0,0,-0.06235721,0,1348.371,-15.0445,0,0
4,00:00:00.201,0.2028,-10.977,30,5.001,0,0,-0.06051295,0,1348.604,-18.2045,0,0
4,00:00:00.203,0.2044,-10.977,30,5.001,0,0,-0.06051295,0,1348.021,-17.3045,0,0
4,00:00:00.204,0.206,-10.977,30,5.001,0,0,-0.06051295,0,1348.138,-17.3035,0,0
4,00:00:00.206,0.2076,-10.977,30,5.001,0,0,-0.06862435,0,1348.604,-15.94749,0,0
5,00:00:00.208,0.2092,-10.977,30,5.001,0,0,-0.07673576,0,1347.672,-19.1095,0,0
5,00:00:00.209,0.2108,-10.977,30,5.001,0,0,-0.07673576,0,1347.089,-12.335,0,0
5,00:00:00.211,0.2124,-10.977,30,5.001,0,0,-0.07673576,0,1348.254,-22.2705,0,0
5,00:00:00.212,0.214,-10.977,30,5.001,0,0,-0.07293335,0,1347.905,-13.2375,0,0
5,00:00:00.214,0.2156,-10.977,30,5.001,0,0,-0.07293335,0,1347.089,-17.7535,0,0
5,00:00:00.216,0.2172,-10.977,30,5.001,0,0,-0.07293335,0,1347.672,-15.495,0,0
5,00:00:00.217,0.2188,-10.977,30,5.001,0,0,-0.09240367,0,1347.089,-19.109,0,0
5,00:00:00.219,0.2204,-10.977,30,5.001,0,0,-0.111874,0,1347.672,-19.111,0,0
5,00:00:00.220,0.222,-10.977,30,5.001,0,0,-0.111874,0,1346.623,-16.851,0,0
5,00:00:00.222,0.2236,-10.977,30,5.001,0,0,-0.111874,0,1348.255,-17.3035,0,0
