Msg Id,Time (hr:min:sec),Time (Seconds) (),Clamp Pos (mm) (),Shoulder (Y) Pos (mm) (),Probe (X) Pos (mm) (),Shoulder (Y) Vel (mmPM) (),Probe (X) Velocity (mmPM) (),Spindle Torque (Nm) (),Shoulder Force (N) (),Probe Force (N) (),Anvil Force (N) (),Shoulder Servo Torque (Nm) (),Probe Servo Torque (Nm) ()
0,00:00:00.000,0.0012,-10.977,30,5.001,0,0,-0.12726,0,301.269,-18.228,0,0
0,00:00:00.001,0.0028,-10.977,30,5.001,0,0,-0.12726,0,301.3855,-18.681,0,0
0,00:00:00.003,0.0044,-10.977,30,5.001,0,0,-0.1497118,0,301.3855,-19.585,0,0
0,00:00:00.004,0.006,-10.977,30,5.001,0,0,-0.1497118,0,301.1525,-16.424,0,0
0,00:00:00.006,0.0076,-10.977,30,5.001,0,0,-0.1497118,0,301.968,-20.036,0,0
0,00:00:00.008,0.0092,-10.977,30,5.001,0,0,-0.1497118,0,301.3855,-14.1655,0,0
0,00:00:00.009,0.0108,-10.977,30,5.001,0,0,-0.1251376,0,300.9195,-22.7465,0,0
0,00:00:00.011,0.0124,-10.977,30,5.001,0,0,-0.1251376,0,302.3175,-13.259,0,0
0,00:00:00.012,0.014,-10.977,30,5.001,0,0,-0.1251376,0,301.269,-18.679,0,0
0,00:00:00.014,0.0156,-10.977,30,5.001,0,0,-0.1149316,0,301.3855,-13.26051,0,0
0,00:00:00.016,0.0172,-10.977,30,5.001,0,0,-0.1047257,0,300.6865,-16.4215,0,0
0,00:00:00.017,0.0188,-10.977,30,5.001,0,0,-0.1047257,0,301.8515,-11.9065,0,0
0,00:00:00.019,0.0204,-10.977,30,5.001,0,0,-0.1047257,0,300.9195,-16.4205,0,0
0,00:00:00.020,0.022,-10.977,30,5.001,0,0,-0.1194562,0,301.269,-14.616,0,0
0,00:00:00.022,0.0236,-10.977,30,5.001,0,0,-0.1341868,0,300.6865,-17.77551,0,0
0,00:00:00.024,0.0252,-10.977,30,5.001,0,0,-0.1341868,0,301.269,-14.16351,0,0
0,00:00:00.025,0.0268,-10.977,30,5.001,0,0,-0.1341868,0,300.6865,-15.972,0,0
0,00:00:00.027,0.0284,-10.977,30,5.001,0,0,-0.1235743,0,301.036,-13.7115,0,0
0,00:00:00.028,0.03,-10.977,30,5.001,0,0,-0.1129619,0,300.2205,-16.87251,0,0
0,00:00:00.030,0.0316,-10.977,30,5.001,0,0,-0.1129619,0,301.3855,-14.1665,0,0
0,00:00:00.032,0.0332,-10.977,30,5.001,0,0,-0.1129619,0,301.1525,-16.4235,0,0
0,00:00:00.033,0.0348,-10.977,30,5.001,0,0,-0.173154,0,301.8515,-14.1635,0,0
