Msg Id,Time (hr:min:sec),Time (Seconds) (),Clamp Pos (mm) (),Shoulder (Y) Pos (mm) (),Probe (X) Pos (mm) (),Shoulder (Y) Vel (mmPM) (),Probe (X) Velocity (mmPM) (),Spindle Torque (Nm) (),Shoulder Force (N) (),Probe Force (N) (),Anvil Force (N) (),Shoulder Servo Torque (Nm) (),Probe Servo Torque (Nm) ()
0,00:00:00.000,0.0012,-10.977,30,5.001,0,0,0.06073419,0,-1.7475,-13.658,0,0
0,00:00:00.001,0.0028,-10.977,30,5.001,0,0,0.06302217,0,-0.9320002,-13.20749,0,0
0,00:00:00.003,0.0044,-10.977,30,5.001,0,0,0.06531015,0,-1.7475,-15.4665,0,0
0,00:00:00.004,0.006,-10.977,30,5.001,0,0,0.06531015,0,-1.864,-12.757,0,0
0,00:00:00.006,0.0076,-10.977,30,5.001,0,0,0.06531015,0,-1.5145,-13.6595,0,0
0,00:00:00.008,0.0092,-10.977,30,5.001,0,0,0.09446418,0,-2.446499,-11.8535,0,0
0,00:00:00.009,0.0108,-10.977,30,5.001,0,0,0.09446418,0,-2.4465,-15.919,0,0
0,00:00:00.011,0.0124,-10.977,30,5.001,0,0,0.09446418,0,-1.7475,-11.853,0,0
0,00:00:00.012,0.014,-10.977,30,5.001,0,0,0.09446418,0,-1.398001,-16.82249,0,0
0,00:00:00.014,0.0156,-10.977,30,5.001,0,0,0.09325927,0,-1.631001,-14.5635,0,0
0,00:00:00.016,0.0172,-10.977,30,5.001,0,0,0.09325927,0,-2.33,-11.4,0,0
0,00:00:00.017,0.0188,-10.977,30,5.001,0,0,0.09325927,0,-1.164999,-14.5615,0,0
0,00:00:00.019,0.0204,-10.977,30,5.001,0,0,0.08314113,0,-1.048501,-15.467,0,0
0,00:00:00.020,0.022,-10.977,30,5.001,0,0,0.07302298,0,-1.864,-14.1105,0,0
0,00:00:00.022,0.0236,-10.977,30,5.001,0,0,0.07302298,0,-1.164999,-12.756,0,0
0,00:00:00.024,0.0252,-10.977,30,5.001,0,0,0.07302298,0,-1.514499,-13.2075,0,0
0,00:00:00.025,0.0268,-10.977,30,5.001,0,0,0.07359141,0,-1.5145,-15.91999,0,0
0,00:00:00.027,0.0284,-10.977,30,5.001,0,0,0.07415984,0,-1.0485,-14.112,0,0
0,00:00:00.028,0.03,-10.977,30,5.001,0,0,0.07415984,0,-0.9320002,-15.0155,0,0
0,00:00:00.030,0.0316,-10.977,30,5.001,0,0,0.07415984,0,-1.164999,-15.46799,0,0
0,00:00:00.032,0.0332,-10.977,30,5.001,0,0,0.0677028,0,-0.5824995,-15.01649,0,0
0,00:00:00.033,0.0348,-10.977,30,5.001,0,0,0.06124575,0,-1.864,-14.11349,0,0
0,00:00:00.035,0.0364,-10.977,30,5.001,0,0,0.06124575,0,-1.2815,-15.46749,0,0
0,00:00:00.036,0.038,-10.977,30,5.001,0,0,0.06124575,0,-1.863999,-14.111,0,0
0,00:00:00.038,0.0396,-10.977,30,5.001,0,0,0.07061955,0,-1.398,-15.015,0,0
0,00:00:00.040,0.0412,-10.977,30,5.001,0,0,0.07061955,0,-0.3494997,-12.3045,0,0
1,00:00:00.041,0.0428,-10.977,30,5.001,0,0,0.07061955,0,-1.864,-16.82449,0,0
1,00:00:00.043,0.0444,-10.977,30,5.001,0,0,0.07061955,0,-1.397999,-13.2085,0,0
1,00:00:00.044,0.046,-10.977,30,5.001,0,0,0.08664377,0,-0.4660001,-12.305,0,0
1,00:00:00.046,0.0476,-10.977,30,5.001,0,0,0.08664377,0,-1.5145,-15.918,0,0
1,00:00:00.048,0.0492,-10.977,30,5.001,0,0,0.08664377,0,-0.9320002,-16.37,0,0
1,00:00:00.049,0.0508,-10.977,30,5.001,0,0,0.07630195,0,-1.164999,-15.4665,0,0
1,00:00:00.051,0.0524,-10.977,30,5.001,0,0,0.06596014,0,-0.9320006,-16.369,0,0
1,00:00:00.052,0.054,-10.977,30,5.001,0,0,0.06596014,0,-0.5824995,-13.2065,0,0
1,00:00:00.054,0.0556,-10.977,30,5.001,0,0,0.06596014,0,-1.7475,-14.562,0,0
1,00:00:00.056,0.0572,-10.977,30,5.001,0,0,0.0663013,0,-0.8155003,-12.304,0,0
1,00:00:00.057,0.0588,-10.977,30,5.001,0,0,0.06664247,0,-1.281501,-13.659,0,0
1,00:00:00.059,0.0604,-10.977,30,5.001,0,0,0.06664247,0,-1.2815,-12.7575,0,0
1,00:00:00.060,0.062,-10.977,30,5.001,0,0,0.06664247,0,-1.165,-11.8515,0,0
1,00:00:00.062,0.0636,-10.977,30,5.001,0,0,0.0541438,0,-1.0485,-13.659,0,0
1,00:00:00.064,0.0652,-10.977,30,5.001,0,0,0.0541438,0,-0.8154993,-15.916,0,0
1,00:00:00.065,0.0668,-10.977,30,5.001,0,0,0.0541438,0,-1.165,-11.853,0,0
1,00:00:00.067,0.0684,-10.977,30,5.001,0,0,0.04949952,0,-1.398,-11.852,0,0
1,00:00:00.068,0.07,-10.977,30,5.001,0,0,0.04485525,0,-0.6989994,-12.3035,0,0
1,00:00:00.070,0.0716,-10.977,30,5.001,0,0,0.04485525,0,-1.5145,-13.66,0,0
1,00:00:00.072,0.0732,-10.977,30,5.001,0,0,0.04485525,0,-0.6990004,-12.756,0,0
1,00:00:00.073,0.0748,-10.977,30,5.001,0,0,0.07483235,0,-1.281501,-12.3035,0,0
1,00:00:00.075,0.0764,-10.977,30,5.001,0,0,0.1048095,0,-0.6990004,-12.7535,0,0
1,00:00:00.076,0.078,-10.977,30,5.001,0,0,0.1048095,0,-1.9805,-15.014,0,0
1,00:00:00.078,0.0796,-10.977,30,5.001,0,0,0.1048095,0,-0.5825005,-10.49549,0,0
1,00:00:00.080,0.0812,-10.977,30,5.001,0,0,0.09133589,0,-1.7475,-14.56,0,0
1,00:00:00.081,0.0828,-10.977,30,5.001,0,0,0.07786231,0,-1.5145,-13.6585,0,0
2,00:00:00.083,0.0844,-10.977,30,5.001,0,0,0.07786231,0,-1.398,-18.625,0,0
2,00:00:00.084,0.086,-10.977,30,5.001,0,0,0.07786231,0,-1.631001,-12.3035,0,0
2,00:00:00.086,0.0876,-10.977,30,5.001,0,0,0.05421023,0,-1.398,-14.112,0,0
2,00:00:00.088,0.0892,-10.977,30,5.001,0,0,0.05421023,0,-0.9320002,-13.208,0,0
2,00:00:00.089,0.0908,-10.977,30,5.001,0,0,0.05421023,0,-1.5145,-13.659,0,0
2,00:00:00.091,0.0924,-10.977,30,5.001,0,0,0.05421023,0,-1.2815,-12.3045,0,0
2,00:00:00.092,0.094,-10.977,30,5.001,0,0,0.08645415,0,-1.2815,-13.659,0,0
2,00:00:00.094,0.0956,-10.977,30,5.001,0,0,0.08645415,0,-1.631,-12.7545,0,0
2,00:00:00.096,0.0972,-10.977,30,5.001,0,0,0.08645415,0,-1.281501,-15.013,0,0
2,00:00:00.097,0.0988,-10.977,30,5.001,0,0,0.06680742,0,-1.631,-13.659,0,0
2,00:00:00.099,0.1004,-10.977,30,5.001,0,0,0.04716068,0,-2.097001,-11.403,0,0
2,00:00:00.100,0.102,-10.977,30,5.001,0,0,0.04716068,0,-1.631,-13.206,0,0
2,00:00:00.102,0.1036,-10.977,30,5.001,0,0,0.04716068,0,-1.514501,-15.014,0,0
2,00:00:00.104,0.1052,-10.977,30,5.001,0,0,0.06519958,0,-0.9319997,-14.5645,0,0
2,00:00:00.105,0.1068,-10.977,30,5.001,0,0,0.08323848,0,-1.2815,-15.467,0,0
2,00:00:00.107,0.1084,-10.977,30,5.001,0,0,0.08323848,0,-1.631,-11.403,0,0
2,00:00:00.108,0.11,-10.977,30,5.001,0,0,0.08323848,0,-1.165,-14.112,0,0
2,00:00:00.110,0.1116,-10.977,30,5.001,0,0,0.07525353,0,-1.0485,-14.1115,0,0
2,00:00:00.112,0.1132,-10.977,30,5.001,0,0,0.07525353,0,-0.9320002,-14.1125,0,0
2,00:00:00.113,0.1148,-10.977,30,5.001,0,0,0.07525353,0,-1.7475,-15.01649,0,0
2,00:00:00.115,0.1164,-10.977,30,5.001,0,0,0.0653611,0,-1.631001,-14.11349,0,0
2,00:00:00.116,0.118,-10.977,30,5.001,0,0,0.05546866,0,-1.631,-13.2085,0,0
