Msg Id,Time (hr:min:sec),Time (Seconds) (),Clamp Pos (mm) (),Shoulder (Y) Pos (mm) (),Probe (X) Pos (mm) (),Shoulder (Y) Vel (mmPM) (),Probe (X) Velocity (mmPM) (),Spindle Torque (Nm) (),Shoulder Force (N) (),Probe Force (N) (),Anvil Force (N) (),Shoulder Servo Torque (Nm) (),Probe Servo Torque (Nm) ()
0,00:00:00.000,0.0012,-10.915,30,5.001,0,0,-0.05575895,0,1238.744,-5.487999,0,0
0,00:00:00.001,0.0028,-10.915,30,5.001,0,0,-0.0560602,0,1239.21,-3.231499,0,0
0,00:00:00.003,0.0044,-10.915,30,5.001,0,0,-0.0560602,0,1238.744,-5.487,0,0
0,00:00:00.004,0.006,-10.915,30,5.001,0,0,-0.0560602,0,1238.162,-1.421999,0,0
0,00:00:00.006,0.0076,-10.915,30,5.001,0,0,-0.05439065,0,1239.443,-7.746998,0,0
0,00:00:00.008,0.0092,-10.915,30,5.001,0,0,-0.05439065,0,1238.978,-4.586498,0,0
0,00:00:00.009,0.0108,-10.915,30,5.001,0,0,-0.05439065,0,1239.327,-7.294998,0,0
0,00:00:00.011,0.0124,-10.915,30,5.001,0,0,-0.05439065,0,1238.977,-7.295498,0,0
0,00:00:00.012,0.014,-10.915,30,5.001,0,0,-0.06980688,0,1238.278,-7.744999,0,0
0,00:00:00.014,0.0156,-10.915,30,5.001,0,0,-0.06980688,0,1239.793,-7.293499,0,0
0,00:00:00.016,0.0172,-10.915,30,5.001,0,0,-0.06980688,0,1238.744,-9.100498,0,0
0,00:00:00.017,0.0188,-10.915,30,5.001,0,0,-0.06980688,0,1238.744,-5.487999,0,0
0,00:00:00.019,0.0204,-10.915,30,5.001,0,0,-0.04462227,0,1238.395,-8.649498,0,0
0,00:00:00.020,0.022,-10.915,30,5.001,0,0,-0.04462227,0,1238.278,-6.389999,0,0
0,00:00:00.022,0.0236,-10.915,30,5.001,0,0,-0.04462227,0,1238.046,-9.100498,0,0
0,00:00:00.024,0.0252,-10.915,30,5.001,0,0,-0.05019467,0,1238.162,-5.487999,0,0
0,00:00:00.025,0.0268,-10.915,30,5.001,0,0,-0.05576707,0,1238.162,-7.744999,0,0
0,00:00:00.027,0.0284,-10.915,30,5.001,0,0,-0.05576707,0,1237.929,-3.231499,0,0
0,00:00:00.028,0.03,-10.915,30,5.001,0,0,-0.05576707,0,1238.046,-6.842999,0,0
0,00:00:00.030,0.0316,-10.915,30,5.001,0,0,-0.05027298,0,1237.696,-6.390499,0,0
0,00:00:00.032,0.0332,-10.915,30,5.001,0,0,-0.04477888,0,1238.162,-7.294998,0,0
0,00:00:00.033,0.0348,-10.915,30,5.001,0,0,-0.04477888,0,1237.813,-6.844498,0,0
0,00:00:00.035,0.0364,-10.915,30,5.001,0,0,-0.04477888,0,1237.346,-7.747498,0,0
0,00:00:00.036,0.038,-10.915,30,5.001,0,0,-0.06780507,0,1237.813,-4.585499,0,0
0,00:00:00.038,0.0396,-10.915,30,5.001,0,0,-0.06780507,0,1237.929,-2.7775,0,0
0,00:00:00.040,0.0412,-10.915,30,5.001,0,0,-0.06780507,0,1238.511,-5.037998,0,0
1,00:00:00.041,0.0428,-10.915,30,5.001,0,0,-0.06780507,0,1237.929,-10.004,0,0
1,00:00:00.043,0.0444,-10.915,30,5.001,0,0,-0.04707742,0,1237.813,-4.586498,0,0
1,00:00:00.044,0.046,-10.915,30,5.001,0,0,-0.04707742,0,1237.463,-5.939999,0,0
1,00:00:00.046,0.0476,-10.915,30,5.001,0,0,-0.04707742,0,1238.162,-5.0355,0,0
1,00:00:00.048,0.0492,-10.915,30,5.001,0,0,-0.0389372,0,1237.929,-7.293499,0,0
1,00:00:00.049,0.0508,-10.915,30,5.001,0,0,-0.03079698,0,1237.463,-2.326,0,0
1,00:00:00.051,0.0524,-10.915,30,5.001,0,0,-0.03079698,0,1237.813,-5.0355,0,0
1,00:00:00.052,0.054,-10.915,30,5.001,0,0,-0.03079698,0,1238.045,-5.938999,0,0
1,00:00:00.054,0.0556,-10.915,30,5.001,0,0,-0.04876039,0,1238.045,-6.841,0,0
1,00:00:00.056,0.0572,-10.915,30,5.001,0,0,-0.06672379,0,1238.162,-3.681999,0,0
1,00:00:00.057,0.0588,-10.915,30,5.001,0,0,-0.06672379,0,1238.162,-6.841499,0,0
1,00:00:00.059,0.0604,-10.915,30,5.001,0,0,-0.06672379,0,1238.861,-6.842499,0,0
1,00:00:00.060,0.062,-10.915,30,5.001,0,0,-0.04998227,0,1238.278,-6.8405,0,0
1,00:00:00.062,0.0636,-10.915,30,5.001,0,0,-0.04998227,0,1238.511,-2.326,0,0
1,00:00:00.064,0.0652,-10.915,30,5.001,0,0,-0.04998227,0,1238.511,-8.650497,0,0
1,00:00:00.065,0.0668,-10.915,30,5.001,0,0,-0.04998227,0,1238.279,-4.132999,0,0
1,00:00:00.067,0.0684,-10.915,30,5.001,0,0,-0.05024134,0,1237.813,-6.843998,0,0
1,00:00:00.068,0.07,-10.915,30,5.001,0,0,-0.05024134,0,1238.162,-7.294498,0,0
1,00:00:00.070,0.0716,-10.915,30,5.001,0,0,-0.05024134,0,1238.162,-8.648998,0,0
1,00:00:00.072,0.0732,-10.915,30,5.001,0,0,-0.06180728,0,1238.045,-5.940998,0,0
1,00:00:00.073,0.0748,-10.915,30,5.001,0,0,-0.07337322,0,1238.279,-9.554996,0,0
